group;year;city;country
1;1973;Taubate;Brazil
1;1990;Sao Paulo;Brazil
1;1993;Campinas;Brazil
1;1999;Uberlandia;Brazil
1;2000;Toronto;Canada
1;2002;Sydney;Australia
1;2006;Paris;France
1;2009;Londrina;Brazil
1;2009;Paris;France
1;2011;Rio de Janeiro;Brazil
1;2023;Curitiba;Brazil
1;2024;Balneário Camboriú;Brazil
1;2024;Florianopolis;Brazil
1;2024;Vila Velha;Brazil
1;2025;Joao Pessoa;Brazil
1;2025;Maceio;Brazil
1;2025;Natal;Brazil
1;2025;Vitória;Brazil
1;2026;Goiania;Brazil
1;2026;Santos;Brazil
2;1987;Guarujá;Brazil
2;1990;Ubatuba;Brazil
2;1992;Bauru;Brazil
2;1995;Peruíbe;Brazil
2;1996;Americana;Brazil
2;1997;Três Corações;Brazil
2;1999;Barueri;Brazil
2;2000;Québec;Canada
2;2002;Melbourne;Australia
2;2005;São Luís;Brazil
2;2006;Amsterdam;Netherlands
2;2009;Brasilia;Brazil
2;2010;Lyon;France
2;2010;Marseille;France
2;2010;Paris;France
2;2012;Barcelona;Spain
2;2012;Lisbon;Portugal
2;2012;Madrid;Spain
2;2013;Cabo Frio;Brazil
2;2013;Florence;Italy
2;2013;Rome;Italy
2;2013;Venice;Italy
2;2014;Arraial do Cabo;Brazil
2;2014;London;United Kingdom
2;2014;Paris;France
2;2015;Amsterdam;Netherlands
2;2015;Berlin;Germany
2;2015;Prague;Czech Republic
2;2016;Munich;Germany
2;2016;Salzburg;Austria
2;2016;Vienna;Austria
2;2017;Brussels;Belgium
2;2017;Edinburgh;United Kingdom
2;2017;Le Mont-Saint-Michel;France
2;2017;Paris;France
2;2017;Rennes;France
2;2018;Athens;Greece
2;2018;Budapest;Hungary
2;2018;Cologne;Germany
2;2018;Paris;France
2;2019;Dubrovnik;Croatia
2;2019;Florence;Italy
2;2019;Frankfurt;Germany
2;2019;Kraków;Poland
2;2019;Milan;Italy
2;2019;Naples;Italy
2;2019;Paris;France
2;2019;Riomaggiore;Italy
2;2023;Bled;Slovenia
2;2023;Bratislava;Slovakia
2;2023;Graz;Austria
2;2023;Helsinki;Finland
2;2023;Ljubljana;Slovenia
2;2023;Paris;France
2;2023;Riga;Latvia
2;2023;Tallinn;Estonia
2;2023;Vienna;Austria
2;2024;Heidelberg;Germany
2;2024;København;Denmark
2;2024;Lisbon;Portugal
2;2024;Luxembourg;Luxembourg
2;2024;Paris;France
2;2024;Porto;Portugal
2;2024;Stockholm;Sweden
2;2024;Strasbourg;France
2;2025;Berlin;Germany
2;2025;Dresden;Germany
2;2025;Leipzig;Germany
2;2025;Nürnberg;Germany
2;2025;Paris;France
2;2026;Belgrade;Serbia
2;2026;Istanbul;Türkiye
2;2026;Nis;Serbia
2;2026;Sofia;Bulgaria
3;1990;Campos do Jordão;Brazil
3;1990;Santo Antonio do Pinhal;Brazil
3;1994;Vinhedo;Brazil
3;1997;Paraty;Brazil
3;1997;Sao Tome das Letras;Brazil
3;2000;Montréal;Canada
3;2000;Niagara-on-the-Lake;Canada
3;2002;Canberra;Australia
3;2002;Grampians National Park;Australia
3;2002;Great Ocean Road;Australia
3;2002;Katoomba;Australia
3;2006;Versailles;France
3;2009;Geneva;Switzerland
3;2010;Aix-en-Provence;France
3;2012;Petropolis;Brazil
3;2012;Sintra;Portugal
3;2012;Toledo;Spain
3;2013;Lucca;Italy
3;2013;Pisa;Italy
3;2013;Siena;Italy
3;2014;Bath;United Kingdom
3;2014;Fontainebleau;France
3;2014;Niteroi;Brazil
3;2014;Stonehenge;United Kingdom
3;2014;Vatican City;Vatican
3;2014;Windsor;United Kingdom
3;2015;Füssen;Germany
3;2015;Kutná Hora;Czech Republic
3;2015;Potsdam;Germany
3;2016;Oswiecim;Poland
3;2016;Wieliczka;Poland
3;2018;Brugge;Belgium
3;2018;Gent;Belgium
3;2019;Corniglia;Italy
3;2019;Manarola;Italy
3;2019;Monterosso al Mare;Italy
3;2019;Pompei;Italy
3;2019;Vernazza;Italy
3;2024;Ercolano;Italy
3;2024;Itajaí;Brazil
3;2024;Morretes;Brazil
3;2024;Postojna;Slovenia
3;2024;Predjama;Slovenia
3;2025;Colmar;France
3;2026;Rila;Bulgaria
3;2026;Plovdiv;Bulgaria
3;2026;Sao Vicente;Brazil
4;2008;Santo Andre;Brazil
4;1998;Mogi das Cruzes;Brazil
4;2000;Sao Jose dos Campos;Brazil
4;1980;Tremembé;Brazil
4;2024;Guarulhos;Brazil
